time_slot,time_slot_label,mean_weekday_trips,mean_weekend_trips
0,00:00,2.43,6.23
1,00:30,2.31,5.14
2,01:00,1.77,4.23
3,01:30,1.47,5.18
4,02:00,1.24,3.16
5,02:30,1.28,1.86
6,03:00,0.83,1.63
7,03:30,0.45,0.99
8,04:00,0.49,0.73
9,04:30,1.14,0.64
10,05:00,0.88,0.68
11,05:30,1.56,0.53
12,06:00,2.77,0.70
13,06:30,5.38,1.59
14,07:00,8.44,2.52
15,07:30,14.19,2.71
16,08:00,13.91,3.97
17,08:30,18.25,5.69
18,09:00,13.03,8.30
19,09:30,11.92,11.07
20,10:00,9.02,12.19
21,10:30,9.08,12.93
22,11:00,10.74,14.55
23,11:30,16.09,17.89
24,12:00,18.07,18.22
25,12:30,19.27,19.00
26,13:00,18.71,19.80
27,13:30,16.06,20.38
28,14:00,14.61,19.20
29,14:30,14.19,19.31
30,15:00,13.50,19.49
31,15:30,14.38,19.22
32,16:00,17.84,19.74
33,16:30,18.78,18.80
34,17:00,23.74,16.84
35,17:30,24.17,16.12
36,18:00,23.61,14.49
37,18:30,19.40,13.95
38,19:00,16.84,12.13
39,19:30,14.83,12.09
40,20:00,12.41,9.36
41,20:30,11.20,9.63
42,21:00,9.92,8.33
43,21:30,8.59,8.90
44,22:00,7.59,8.14
45,22:30,6.26,7.12
46,23:00,5.59,6.21
47,23:30,4.49,4.68
