station_id,station_lat,station_long,start_slot_0,start_slot_1,start_slot_2,start_slot_3,start_slot_4,start_slot_5,start_slot_6,start_slot_7,start_slot_8,start_slot_9,start_slot_10,start_slot_11,start_slot_12,start_slot_13,start_slot_14,start_slot_15,start_slot_16,start_slot_17,start_slot_18,start_slot_19,start_slot_20,start_slot_21,start_slot_22,start_slot_23,start_slot_24,start_slot_25,start_slot_26,start_slot_27,start_slot_28,start_slot_29,start_slot_30,start_slot_31,start_slot_32,start_slot_33,start_slot_34,start_slot_35,start_slot_36,start_slot_37,start_slot_38,start_slot_39,start_slot_40,start_slot_41,start_slot_42,start_slot_43,start_slot_44,start_slot_45,start_slot_46,start_slot_47,end_slot_0,end_slot_1,end_slot_2,end_slot_3,end_slot_4,end_slot_5,end_slot_6,end_slot_7,end_slot_8,end_slot_9,end_slot_10,end_slot_11,end_slot_12,end_slot_13,end_slot_14,end_slot_15,end_slot_16,end_slot_17,end_slot_18,end_slot_19,end_slot_20,end_slot_21,end_slot_22,end_slot_23,end_slot_24,end_slot_25,end_slot_26,end_slot_27,end_slot_28,end_slot_29,end_slot_30,end_slot_31,end_slot_32,end_slot_33,end_slot_34,end_slot_35,end_slot_36,end_slot_37,end_slot_38,end_slot_39,end_slot_40,end_slot_41,end_slot_42,end_slot_43,end_slot_44,end_slot_45,end_slot_46,end_slot_47
3058,34.035801,-118.23317,2,3,0,0,1,0,0,0,0,0,4,1,3,8,7,8,16,21,34,54,47,48,19,47,35,49,34,45,39,38,42,30,29,31,25,45,70,37,45,30,33,31,29,30,21,15,18,10,10,2,7,0,3,0,1,0,0,0,1,0,0,1,7,36,58,54,19,21,9,20,18,27,45,50,30,60,36,52,25,30,30,30,57,67,62,45,54,52,30,33,40,26,33,18,18,17
3069,34.05088,-118.248253,8,6,4,5,6,0,0,1,1,1,4,3,0,12,108,57,85,119,82,67,34,59,56,98,114,156,178,177,160,133,97,105,85,81,161,95,130,124,120,115,86,98,59,49,43,24,16,14,16,8,7,6,2,4,1,3,0,2,1,7,3,5,31,83,65,83,120,69,61,56,91,147,219,189,175,134,134,98,97,100,84,72,83,100,142,139,145,105,80,75,63,44,23,27,22,19
3067,34.045181,-118.250237,10,9,13,8,2,3,5,5,1,2,2,41,54,26,57,153,135,132,52,68,59,64,47,54,83,61,69,76,65,80,56,80,55,63,91,100,113,121,105,94,88,77,49,32,29,17,31,23,32,17,11,3,7,5,4,2,3,3,2,0,2,4,6,28,28,23,18,21,22,33,43,50,55,61,73,72,54,51,64,67,107,85,109,127,115,142,125,129,90,94,91,80,84,59,43,36
3076,34.0406,-118.253838,4,3,1,5,0,2,5,4,2,0,2,0,7,15,11,19,93,27,41,40,24,24,22,46,49,67,60,74,41,41,51,55,83,69,83,66,57,36,42,20,26,16,20,11,8,10,3,2,12,2,9,7,2,2,2,3,2,1,3,2,7,12,3,65,26,90,69,25,31,43,20,41,74,77,63,55,62,48,54,36,41,41,69,54,88,55,31,21,20,32,19,15,13,6,14,12
3049,34.056969,-118.253593,3,9,4,0,5,1,2,3,2,2,4,27,8,34,37,245,94,114,83,41,47,39,36,46,55,84,49,33,46,56,56,57,119,87,203,187,97,69,73,70,62,53,16,17,21,13,10,2,20,16,17,7,10,6,3,2,2,2,0,8,8,11,60,141,42,22,20,22,25,14,22,29,37,44,49,60,30,25,43,32,46,61,68,74,56,78,87,97,69,68,86,57,48,51,38,29
3006,34.04554,-118.256668,8,17,5,6,10,5,2,1,2,1,7,6,5,22,14,36,44,85,40,25,37,30,44,22,69,80,93,64,54,60,44,63,56,33,49,71,71,77,62,67,76,83,91,60,43,36,11,18,24,11,20,7,8,2,4,6,5,1,2,5,18,19,12,24,44,21,20,28,44,20,36,60,76,86,55,69,47,36,61,60,69,63,94,78,92,101,104,73,75,80,49,47,46,29,36,21
3062,34.047749,-118.243172,10,7,3,2,5,2,1,1,3,4,4,1,5,19,20,31,55,168,112,42,38,37,26,40,30,54,50,55,45,59,42,33,36,74,95,62,39,34,45,39,31,33,38,31,20,31,16,15,8,6,4,3,9,2,3,0,1,0,0,0,1,3,7,4,12,94,12,20,17,13,19,32,35,44,37,61,42,40,52,50,58,54,47,70,67,133,109,73,74,60,31,38,28,28,24,20
3035,34.048401,-118.260948,15,5,6,4,5,13,2,1,1,0,2,2,1,3,7,8,15,17,22,27,24,34,45,87,96,91,86,69,102,92,84,80,131,108,111,116,128,118,98,101,98,52,84,71,59,44,29,28,9,5,3,2,5,3,12,0,3,1,8,4,17,15,20,76,79,133,175,61,29,57,55,93,117,114,88,60,81,107,80,64,64,52,77,80,122,87,84,72,61,50,33,49,29,21,26,16
3075,34.04211,-118.256187,6,12,10,9,7,5,0,0,3,1,3,1,14,10,12,30,24,24,13,34,23,30,34,52,48,74,83,69,59,47,41,43,27,44,46,56,64,66,54,39,31,31,23,28,25,34,24,23,22,17,11,12,7,6,2,2,3,0,0,4,4,6,5,15,33,67,57,49,54,31,39,55,33,44,54,56,61,60,48,45,26,46,62,57,46,60,51,60,43,29,45,39,32,30,23,11
3052,34.051102,-118.264557,10,2,8,8,0,6,1,0,1,7,15,18,39,50,103,30,42,39,29,32,28,35,37,56,99,73,58,47,30,38,29,39,49,54,107,73,55,37,38,64,40,25,26,13,9,16,13,6,11,12,6,10,5,4,7,1,3,0,1,0,1,2,2,6,26,76,12,14,6,13,20,18,27,29,29,28,27,30,29,58,40,44,37,32,29,36,30,44,39,20,26,35,21,11,23,21
