station_id,station_lat,station_long,start_slot_0,start_slot_1,start_slot_2,start_slot_3,start_slot_4,start_slot_5,start_slot_6,start_slot_7,start_slot_8,start_slot_9,start_slot_10,start_slot_11,start_slot_12,start_slot_13,start_slot_14,start_slot_15,start_slot_16,start_slot_17,start_slot_18,start_slot_19,start_slot_20,start_slot_21,start_slot_22,start_slot_23,start_slot_24,start_slot_25,start_slot_26,start_slot_27,start_slot_28,start_slot_29,start_slot_30,start_slot_31,start_slot_32,start_slot_33,start_slot_34,start_slot_35,start_slot_36,start_slot_37,start_slot_38,start_slot_39,start_slot_40,start_slot_41,start_slot_42,start_slot_43,start_slot_44,start_slot_45,start_slot_46,start_slot_47,end_slot_0,end_slot_1,end_slot_2,end_slot_3,end_slot_4,end_slot_5,end_slot_6,end_slot_7,end_slot_8,end_slot_9,end_slot_10,end_slot_11,end_slot_12,end_slot_13,end_slot_14,end_slot_15,end_slot_16,end_slot_17,end_slot_18,end_slot_19,end_slot_20,end_slot_21,end_slot_22,end_slot_23,end_slot_24,end_slot_25,end_slot_26,end_slot_27,end_slot_28,end_slot_29,end_slot_30,end_slot_31,end_slot_32,end_slot_33,end_slot_34,end_slot_35,end_slot_36,end_slot_37,end_slot_38,end_slot_39,end_slot_40,end_slot_41,end_slot_42,end_slot_43,end_slot_44,end_slot_45,end_slot_46,end_slot_47
3058,34.035801,-118.23317,9,8,3,5,0,3,1,1,0,0,0,0,1,6,12,10,1,12,6,17,14,14,26,27,31,16,40,28,48,36,20,26,26,25,25,19,9,26,13,17,23,9,11,18,12,5,6,4,10,4,3,9,5,5,0,0,1,0,0,0,0,1,1,1,2,5,18,8,25,21,19,17,16,39,31,32,49,44,31,26,34,27,34,22,24,20,12,33,8,5,11,6,22,9,5,14
3069,34.05088,-118.248253,10,4,5,8,6,2,0,0,0,0,0,0,0,1,16,4,17,25,45,56,59,65,57,89,60,75,84,109,102,86,88,80,80,84,72,54,73,69,53,44,43,51,27,36,24,15,15,6,17,8,3,2,2,8,2,2,0,1,0,0,2,6,3,12,25,21,33,38,57,59,55,84,66,87,81,90,77,68,86,94,106,73,90,61,77,69,32,65,37,32,20,19,18,20,9,15
3067,34.045181,-118.250237,4,8,8,9,7,1,3,3,0,1,3,1,4,3,1,8,15,22,36,41,60,44,37,49,38,44,50,40,35,36,38,46,47,37,35,39,34,32,40,30,25,29,20,17,10,12,17,17,18,7,15,2,24,6,1,6,0,2,0,0,2,2,1,2,14,13,19,14,27,27,51,28,27,29,31,52,50,44,50,36,48,41,38,42,54,34,20,27,24,23,26,19,43,20,26,15
3076,34.0406,-118.253838,5,5,10,0,2,0,7,1,2,4,0,2,1,0,5,3,3,7,11,13,13,20,15,19,17,27,22,24,11,22,29,24,46,23,20,20,8,4,15,6,7,7,4,7,3,6,8,6,2,7,7,10,1,0,0,0,1,0,4,1,0,0,0,1,2,2,4,10,10,11,15,19,26,42,30,14,17,24,23,26,22,21,14,13,14,11,6,14,8,6,6,13,10,3,7,3
3049,34.056969,-118.253593,5,2,1,0,3,5,2,0,0,1,1,0,1,1,6,8,12,15,24,23,20,33,33,33,32,32,38,36,35,31,24,15,24,31,15,31,19,22,16,24,14,21,8,6,8,12,6,4,19,8,7,6,10,10,7,3,1,2,3,0,0,0,0,2,8,7,8,16,11,13,12,23,14,29,28,13,21,20,14,14,23,24,24,35,24,21,14,14,17,16,23,16,22,20,17,8
3006,34.04554,-118.256668,14,8,8,9,7,2,4,0,0,1,1,0,3,1,3,10,13,9,13,15,19,26,21,51,36,32,33,32,26,39,25,29,22,35,21,22,34,28,22,22,23,14,12,15,15,7,12,9,8,6,7,5,4,4,4,2,4,2,0,0,1,2,3,7,8,9,16,9,8,18,34,24,31,29,35,38,28,32,34,22,49,32,30,43,24,22,34,27,17,39,15,19,8,14,14,17
3062,34.047749,-118.243172,3,4,7,10,1,1,1,1,0,0,2,0,0,11,0,2,3,6,15,21,7,11,21,25,29,30,32,24,27,36,41,27,26,28,22,14,29,21,11,21,19,24,13,11,1,7,8,11,10,12,10,8,5,2,0,2,0,0,1,0,0,0,1,1,2,6,5,15,8,14,20,16,25,31,36,25,31,12,31,30,39,35,33,45,21,20,14,16,14,9,7,17,7,8,10,4
3035,34.048401,-118.260948,8,10,10,7,6,3,2,1,1,0,2,0,0,1,2,5,16,6,23,15,14,22,30,41,40,58,50,37,37,25,42,44,59,35,32,23,43,39,32,33,28,14,25,7,16,17,12,11,8,8,0,9,3,4,4,0,1,2,1,1,4,7,6,6,14,10,20,15,28,56,35,38,50,36,51,51,41,32,27,53,40,40,31,41,45,48,29,29,25,22,11,5,8,9,5,5
3075,34.04211,-118.256187,17,14,6,6,5,6,1,0,0,1,0,0,1,1,3,7,9,3,15,3,12,22,21,17,23,25,18,31,33,38,36,29,15,29,24,25,25,21,19,17,14,14,19,21,19,6,8,10,11,16,5,5,6,0,1,3,2,2,0,1,0,3,5,3,5,9,13,12,13,18,17,21,20,27,25,15,28,28,24,35,40,44,31,27,32,17,32,29,18,9,13,12,15,13,6,3
3052,34.051102,-118.264557,5,1,1,1,1,3,1,1,1,0,0,0,0,15,21,12,5,18,12,30,16,23,22,29,26,32,35,31,25,23,30,16,12,17,15,15,21,15,8,8,10,9,10,8,10,13,3,2,9,4,10,19,18,3,2,3,0,0,3,0,1,0,1,2,3,2,8,12,11,11,12,9,9,19,22,30,18,29,11,16,21,14,16,16,18,20,10,9,12,20,7,9,13,4,10,0
3014,34.05661,-118.237213,14,11,7,2,2,6,0,0,0,0,5,0,0,1,3,5,4,16,15,20,9,15,21,21,28,26,29,21,21,40,24,15,21,13,15,16,26,29,12,13,15,21,12,14,14,12,3,10,9,9,5,5,11,11,4,3,1,4,6,7,17,4,8,8,10,6,11,13,17,18,14,29,21,25,33,31,33,49,36,43,33,36,29,34,25,26,23,29,24,25,8,7,22,15,10,7
3082,34.04652,-118.237411,19,46,34,27,9,9,8,8,6,2,4,0,4,0,5,3,6,12,18,32,30,39,36,49,30,44,61,41,54,77,50,95,59,59,41,49,65,34,24,33,19,18,29,35,32,38,27,17,43,32,14,29,22,6,3,1,0,3,0,3,1,2,1,7,3,9,10,26,24,28,30,36,47,58,65,81,104,75,63,63,68,84,98,65,65,49,42,41,37,20,42,38,25,24,16,45
3064,34.04681,-118.256981,16,16,10,22,10,5,1,1,0,0,0,3,0,5,5,1,11,9,17,24,29,24,32,46,57,39,35,53,25,43,44,50,46,67,47,53,36,54,47,33,32,35,29,22,29,22,10,8,5,10,12,8,6,6,7,3,0,2,1,0,0,1,1,3,7,22,11,26,48,27,29,37,56,34,55,49,47,60,40,61,57,53,47,50,35,48,44,44,33,39,43,23,6,8,13,6
3055,34.044159,-118.251579,9,4,8,5,7,4,6,4,3,6,3,4,4,8,9,11,16,18,26,23,21,28,27,35,23,44,48,44,43,22,22,30,44,27,25,24,25,31,19,34,9,8,7,15,11,5,8,6,18,12,2,11,18,8,11,13,3,5,1,0,1,1,2,3,4,10,6,15,17,5,15,26,21,34,23,25,13,18,30,33,19,27,17,28,19,22,24,33,19,19,14,16,13,15,13,5
3030,34.051941,-118.24353,5,8,4,8,8,4,13,0,0,0,0,2,1,1,4,5,5,4,11,12,14,13,27,29,41,39,30,41,34,31,30,41,43,28,35,26,15,23,15,19,20,12,8,20,15,9,10,7,5,5,11,8,9,4,2,1,0,0,0,4,0,2,2,5,6,3,3,11,15,9,22,23,34,22,15,32,33,31,36,31,34,18,32,22,36,20,14,15,16,9,8,7,8,4,6,6
3005,34.0485497,-118.25905,11,23,4,9,12,16,32,13,9,7,5,0,2,6,3,7,10,8,22,23,31,30,28,49,53,41,43,49,43,50,25,40,32,30,32,39,21,29,22,15,15,25,19,18,16,13,14,8,26,21,15,5,4,6,14,1,0,3,1,3,2,14,14,3,15,34,20,31,26,38,42,42,31,41,64,70,50,39,23,72,48,50,24,38,36,54,40,29,25,21,12,21,31,27,14,4
3021,34.0456085,-118.23703,4,12,11,21,1,0,3,3,2,0,0,1,1,0,2,1,1,3,2,7,6,7,6,7,13,10,11,13,31,7,16,23,15,29,24,22,22,25,13,26,12,13,6,11,13,14,6,4,4,10,5,7,6,4,3,1,0,0,0,0,0,0,0,1,0,5,4,10,7,10,5,22,22,19,20,13,11,24,31,19,19,19,14,29,13,15,34,18,28,15,3,11,4,5,24,12
3040,34.0535698,-118.26636,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,5,8,8,17,13,16,15,32,23,18,31,27,28,29,19,29,21,12,12,11,16,6,8,9,1,5,4,0,4,0,1,2,1,2,0,4,2,0,0,0,0,0,0,0,0,0,0,2,1,2,4,13,4,11,14,10,9,27,28,26,19,22,27,18,11,17,10,9,11,6,3,8,9,9,9,10,5,2,0,2
3016,34.0528984,-118.24156,2,1,14,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,1,4,5,20,16,6,3,5,6,6,4,10,7,15,5,1,6,5,2,1,0,3,4,2,2,5,0,0,0,2,0,0,3,9,0,0,0,0,1,0,0,0,1,1,2,0,1,2,9,6,5,13,11,7,5,6,4,5,5,4,4,4,4,6,4,3,1,3,4,4,1,1,0,0,1
3042,34.0493011,-118.23881,11,20,3,2,4,1,1,0,1,0,0,2,3,5,3,3,2,6,22,24,9,17,12,13,23,35,23,58,34,53,35,55,39,51,61,41,35,35,35,29,21,27,16,20,25,27,19,3,17,22,13,10,5,1,1,0,2,2,0,0,0,1,1,2,5,6,7,10,13,28,17,28,30,47,47,69,45,55,61,72,55,64,46,54,43,37,31,31,35,25,27,34,26,50,29,20
